,Name,Price
0,AK-47 | Fire Serpent (Field-Tested),591
1,StatTrak™ AK-47 | The Empress (Field-Tested),106
2,AK-47 | Vulcan (Field-Tested),79
3,StatTrak™ AK-47 | Asiimov (Field-Tested),64
4,AK-47 | Neon Rider (Field-Tested),40
5,StatTrak™ AK-47 | Redline (Field-Tested),47
6,AK-47 | Aquamarine Revenge (Field-Tested),31
7,AK-47 | Redline (Field-Tested),20
8,StatTrak™ AK-47 | Elite Build (Field-Tested),7
9,AK-47 | Baroque Purple (Field-Tested),2
10,AK-47 | Vulcan (Factory New),306
11,StatTrak™ AK-47 | Bloodsport (Factory New),198
12,AK-47 | Asiimov (Factory New),163
13,AK-47 | Neon Rider (Factory New),112
14,AK-47 | The Empress (Factory New),102
15,AK-47 | Bloodsport (Factory New),77
16,AK-47 | Aquamarine Revenge (Factory New),71
17,AK-47 | Legion of Anubis (Factory New),57
18,AK-47 | Neon Revolution (Factory New),55
19,StatTrak™ AK-47 | Elite Build (Factory New),30
20,AK-47 | Phantom Disruptor (Factory New),20
21,AK-47 | Cartel (Factory New),17
22,AK-47 | Emerald Pinstripe (Factory New),12
23,AK-47 | Baroque Purple (Factory New),10
24,AK-47 | Elite Build (Factory New),8
25,StatTrak™ AK-47 | Uncharted (Factory New),6
26,AK-47 | Point Disarray (Factory New),43
27,AK-47 | Safari Mesh (Factory New),4
28,StatTrak™ AK-47 | Redline (Minimal Wear),192
29,StatTrak™ AK-47 | The Empress (Minimal Wear),135
30,AK-47 | Vulcan (Minimal Wear),160
31,AK-47 | Fuel Injector (Minimal Wear),127
32,AK-47 | Case Hardened (Minimal Wear),116
33,StatTrak™ AK-47 | Asiimov (Minimal Wear),146
34,AK-47 | Neon Rider (Minimal Wear),69
35,AK-47 | Redline (Minimal Wear),66
36,AK-47 | The Empress (Minimal Wear),53
37,AK-47 | Asiimov (Minimal Wear),52
38,AK-47 | Aquamarine Revenge (Minimal Wear),49
39,AK-47 | Wasteland Rebel (Minimal Wear),40
40,AK-47 | Frontside Misty (Minimal Wear),29
41,StatTrak™ AK-47 | Elite Build (Minimal Wear),10
42,AK-47 | Baroque Purple (Minimal Wear),4
43,AK-47 | Emerald Pinstripe (Minimal Wear),7
44,StatTrak™ M4A4 | Neo-Noir (Factory New),223
45,M4A4 | The Emperor (Factory New),129
46,M4A4 | Neo-Noir (Factory New),77
47,M4A4 | Cyber Security (Factory New),39
48,M4A4 | Hellfire (Factory New),44
49,M4A4 | Desolate Space (Factory New),34
50,M4A4 | Buzz Kill (Factory New),28
51,M4A4 | 龍王 (Dragon King) (Factory New),31
52,StatTrak™ M4A4 | Evil Daimyo (Factory New),23
53,M4A4 | X-Ray (Factory New),16
54,M4A4 | Tooth Fairy (Factory New),15
55,M4A4 | The Battlestar (Factory New),14
56,M4A4 | Desert-Strike (Factory New),9
57,M4A4 | Global Offensive (Factory New),5
58,M4A4 | Evil Daimyo (Factory New),7
59,StatTrak™ M4A4 | Magnesium (Factory New),9
60,StatTrak™ M4A4 | The Emperor (Minimal Wear),153
61,StatTrak™ M4A4 | Neo-Noir (Minimal Wear),84
62,M4A4 | Royal Paladin (Minimal Wear),37
63,M4A4 | Neo-Noir (Minimal Wear),36
64,M4A4 | Hellfire (Minimal Wear),26
65,M4A4 | Bullet Rain (Minimal Wear),17
66,M4A4 | Buzz Kill (Minimal Wear),16
67,M4A4 | Desolate Space (Minimal Wear),16
68,M4A4 | Cyber Security (Minimal Wear),17
69,StatTrak™ M4A4 | Evil Daimyo (Minimal Wear),13
70,M4A4 | Tooth Fairy (Minimal Wear),10
71,Souvenir M4A4 | Tornado (Minimal Wear),10
72,M4A4 | Desert-Strike (Minimal Wear),7
73,M4A4 | Griffin (Minimal Wear),5
74,M4A4 | Evil Daimyo (Minimal Wear),5
75,M4A4 | Asiimov (Field-Tested),131
76,StatTrak™ M4A4 | The Emperor (Field-Tested),61
77,Souvenir M4A4 | Radiation Hazard (Field-Tested),25
78,StatTrak™ M4A4 | Buzz Kill (Field-Tested),28
79,StatTrak™ M4A4 | Neo-Noir (Field-Tested),36
80,M4A4 | The Emperor (Field-Tested),23
81,M4A4 | Neo-Noir (Field-Tested),15
82,M4A4 | Radiation Hazard (Field-Tested),12
83,M4A4 | Royal Paladin (Field-Tested),12
84,M4A4 | Tooth Fairy (Field-Tested),7
85,M4A4 | Cyber Security (Field-Tested),8
86,AWP | Oni Taiji (Factory New),281
87,AWP | Containment Breach (Factory New),175
88,StatTrak™ AWP | Neo-Noir (Factory New),121
89,AWP | Graphite (Factory New),104
90,AWP | Wildfire (Factory New),114
91,AWP | Hyper Beast (Factory New),90
92,AWP | Neo-Noir (Factory New),52
93,AWP | Electric Hive (Factory New),40
94,AWP | Elite Build (Factory New),23
95,AWP | Sun in Leo (Factory New),12
96,StatTrak™ AWP | PAW (Factory New),16
97,AWP | Atheris (Factory New),11
98,AWP | Fever Dream (Factory New),10
99,AWP | Exoskeleton (Factory New),9
100,StatTrak™ AWP | Worm God (Factory New),7
101,AWP | Mortis (Factory New),7
102,StatTrak™ AWP | Phobos (Factory New),6
103,AWP | PAW (Factory New),5
104,AWP | Acheron (Factory New),5
105,StatTrak™ AWP | Redline (Minimal Wear),105
106,AWP | Containment Breach (Minimal Wear),85
107,StatTrak™ AWP | Man-o'-war (Minimal Wear),55
108,AWP | Hyper Beast (Minimal Wear),47
109,AWP | Redline (Minimal Wear),47
110,AWP | Pink DDPAT (Minimal Wear),29
111,StatTrak™ AWP | Exoskeleton (Minimal Wear),14
112,StatTrak™ AWP | Atheris (Minimal Wear),16
113,AWP | Man-o'-war (Minimal Wear),24
114,AWP | Elite Build (Minimal Wear),10
115,AWP | Corticera (Minimal Wear),10
116,StatTrak™ AWP | PAW (Minimal Wear),10
117,AWP | Mortis (Minimal Wear),3
118,StatTrak™ AWP | Phobos (Minimal Wear),5
119,AWP | Atheris (Minimal Wear),5
120,StatTrak™ AWP | Asiimov (Field-Tested),200
121,AWP | Asiimov (Field-Tested),90
122,StatTrak™ AWP | Redline (Field-Tested),62
123,AWP | Containment Breach (Field-Tested),48
124,Souvenir AWP | Pink DDPAT (Field-Tested),115
125,AWP | Elite Build (Field-Tested),6
126,StatTrak™ AWP | Exoskeleton (Field-Tested),8
127,StatTrak™ AWP | Atheris (Field-Tested),8
128,Desert Eagle | Printstream (Factory New),204
129,StatTrak™ Desert Eagle | Cobalt Disruption (Factory New),92
130,Desert Eagle | Code Red (Factory New),105
131,Desert Eagle | Cobalt Disruption (Factory New),52
132,StatTrak™ Desert Eagle | Mecha Industries (Factory New),33
133,StatTrak™ Desert Eagle | Conspiracy (Factory New),24
134,Desert Eagle | Kumicho Dragon (Factory New),29
135,Desert Eagle | Midnight Storm (Factory New),14
136,Desert Eagle | Mecha Industries (Factory New),10
137,Desert Eagle | Night Heist (Factory New),9
138,Desert Eagle | Conspiracy (Factory New),7
139,Desert Eagle | Light Rail (Factory New),4
140,StatTrak™ Desert Eagle | Corinthian (Factory New),6
141,StatTrak™ Desert Eagle | Bronze Deco (Factory New),3
142,StatTrak™ Desert Eagle | Printstream (Minimal Wear),293
143,Desert Eagle | Printstream (Field-Tested),106
144,StatTrak™ Desert Eagle | Crimson Web (Minimal Wear),52
145,Desert Eagle | Code Red (Field-Tested),29
146,Desert Eagle | Crimson Web (Minimal Wear),22
147,StatTrak™ Desert Eagle | Conspiracy (Minimal Wear),16
148,StatTrak™ Desert Eagle | Crimson Web (Field-Tested),17
149,Souvenir Desert Eagle | Urban DDPAT (Minimal Wear),7
150,Desert Eagle | Midnight Storm (Minimal Wear),7
151,Souvenir Desert Eagle | Urban Rubble (Field-Tested),23
152,Desert Eagle | Crimson Web (Field-Tested),6
153,Desert Eagle | Conspiracy (Minimal Wear),5
154,Desert Eagle | Night (Minimal Wear),4
155,StatTrak™ Glock-18 | Dragon Tattoo (Factory New),63
156,Glock-18 | Franklin (Factory New),32
157,StatTrak™ Glock-18 | Water Elemental (Factory New),37
158,Glock-18 | Twilight Galaxy (Factory New),40
159,Glock-18 | Vogue (Factory New),15
160,Glock-18 | Wasteland Rebel (Factory New),9
161,Glock-18 | Water Elemental (Factory New),11
162,Glock-18 | Nuclear Garden (Factory New),11
163,Glock-18 | Reactor (Factory New),8
164,StatTrak™ Glock-18 | Grinder (Factory New),7
165,StatTrak™ Glock-18 | Moonrise (Factory New),6
166,Glock-18 | Neo-Noir (Minimal Wear),40
167,StatTrak™ Glock-18 | Water Elemental (Minimal Wear),21
168,Glock-18 | Neo-Noir (Field-Tested),19
169,Glock-18 | Bullet Queen (Field-Tested),19
170,Souvenir Glock-18 | Reactor (Field-Tested),15
171,StatTrak™ Glock-18 | Water Elemental (Field-Tested),15
172,Glock-18 | Vogue (Minimal Wear),11
173,Glock-18 | Vogue (Field-Tested),7
174,Glock-18 | Water Elemental (Minimal Wear),7
175,StatTrak™ Glock-18 | Blue Fissure (Minimal Wear),5
176,StatTrak™ Glock-18 | Grinder (Minimal Wear),5
177,StatTrak™ USP-S | Neo-Noir (Factory New),182
178,USP-S | Kill Confirmed (Factory New),155
179,USP-S | Target Acquired (Factory New),145
180,StatTrak™ USP-S | Orion (Factory New),106
